# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Mon Feb 16 13:52:48 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHKLMN</i> (cf. Bessell 1990 + Bessell & Brett 1988)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  UXmag   BXmag   Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag    Lmag    L'mag   Mmag
0.0152 0.01508 7.00000 0.2468124330 1.8321671787    0.247 -1.429  3.4685  4.085    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.342 14.023 12.765 12.795 11.380 10.032 8.208 6.388 5.782 5.462 5.152 4.976 5.010
0.0152 0.01508 7.00000 0.2666983604 1.8809598854    0.267 -1.380  3.4743  4.093    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.219 13.766 12.518 12.548 11.139 9.824 8.041 6.276 5.665 5.354 5.054 4.882 4.915
0.0152 0.01508 7.00000 0.2957236171 1.9442696855    0.296 -1.313  3.4823  4.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.051 13.423 12.186 12.216 10.812 9.539 7.815 6.125 5.506 5.207 4.920 4.755 4.786
0.0152 0.01508 7.00000 0.3000000119 1.9529139769    0.300 -1.303  3.4834  4.104    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.028 13.378 12.141 12.172 10.766 9.499 7.784 6.105 5.484 5.186 4.902 4.737 4.768
0.0152 0.01508 7.00000 0.3167742789 1.9853358623    0.317 -1.269  3.4876  4.110    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.943 13.213 11.976 12.007 10.598 9.351 7.671 6.030 5.404 5.112 4.834 4.674 4.702
0.0152 0.01508 7.00000 0.3500000238 2.0434175133    0.350 -1.205  3.4955  4.121    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.784 12.907 11.672 11.703 10.302 9.092 7.465 5.888 5.252 4.970 4.708 4.554 4.584
0.0152 0.01508 7.00000 0.3562019467 2.0534667754    0.356 -1.195  3.4968  4.124    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.758 12.858 11.623 11.654 10.255 9.051 7.432 5.865 5.227 4.947 4.688 4.534 4.565
0.0152 0.01508 7.00000 0.4000000358 2.1185024810    0.400 -1.122  3.5055  4.136    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.576 12.528 11.290 11.321 9.936 8.772 7.204 5.703 5.051 4.783 4.541 4.395 4.431
0.0152 0.01508 7.00000 0.4148771763 2.1385181684    0.415 -1.100  3.5084  4.141    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.519 12.423 11.184 11.215 9.834 8.683 7.133 5.653 4.997 4.732 4.496 4.353 4.392
0.0152 0.01508 7.00000 0.4500000477 2.1822809714    0.450 -1.047  3.5152  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.387 12.192 10.945 10.976 9.601 8.479 6.970 5.538 4.872 4.614 4.390 4.254 4.298
0.0152 0.01508 7.00000 0.4722760916 2.2077988057    0.472 -1.018  3.5193  4.159    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.315 12.061 10.809 10.840 9.467 8.362 6.879 5.476 4.804 4.550 4.333 4.201 4.248
0.0152 0.01508 7.00000 0.5000000000 2.2374541529    0.500 -0.981  3.5243  4.167    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.223 11.904 10.640 10.672 9.300 8.215 6.765 5.396 4.717 4.468 4.259 4.133 4.185
0.0152 0.01508 7.00000 0.5152277946 2.2526198816    0.515 -0.962  3.5274  4.174    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.175 11.817 10.546 10.578 9.207 8.134 6.705 5.357 4.673 4.427 4.223 4.101 4.155
