mass_msun,lifetime_myr,cburn_start_myr,cburn_end_myr,cburn_duration_kyr,cburn_max_lc,rsg_duration_myr,rsg_teff_max_k,rsg_logl_min,cburn_rsg_duration_kyr,lc_threshold,zip_member
12.0,17.713250,17.702710,17.713250,10.535,10466.9,0.574036,4000,4.5,10.535,0.001,Z0.014Y0.273_ROT0.00_M12.0.TAB
14.0,14.183312,14.177640,14.183308,5.668,1844.88,1.007023,4000,4.5,5.668,0.001,Z0.014Y0.273_ROT0.00_M14.0.TAB
16.0,11.876520,11.872651,11.876520,3.869,3447.04,0.300364,4000,4.5,3.869,0.001,Z0.014Y0.273_ROT0.00_M16.0.TAB
18.0,10.186186,10.183624,10.186185,2.561,511.707,0.117412,4000,4.5,2.561,0.001,Z0.014Y0.273_ROT0.00_M18.0.TAB
20.0,9.027780,9.025820,9.027779,1.959,682.283,0.636186,4000,4.5,1.959,0.001,Z0.014Y0.273_ROT0.00_M20.0.TAB
22.0,8.135254,8.133761,8.135253,1.492,1100.25,0.559558,4000,4.5,1.492,0.001,Z0.014Y0.273_ROT0.00_M22.0.TAB
24.0,7.431137,7.429977,7.431137,1.160,1030.42,0.485113,4000,4.5,1.160,0.001,Z0.014Y0.273_ROT0.00_M24.0.TAB
26.0,6.881960,6.881010,6.881960,0.950,2032.96,0.480142,4000,4.5,0.950,0.001,Z0.014Y0.273_ROT0.00_M26.0.TAB
28.0,6.452044,6.451248,6.452044,0.796,3894.86,0.452595,4000,4.5,0.796,0.001,Z0.014Y0.273_ROT0.00_M28.0.TAB
30.0,6.082880,6.082193,6.082879,0.686,6972.73,0.000000,4000,4.5,0.000,0.001,Z0.014Y0.273_ROT0.00_M30.0.TAB
35.0,5.387179,5.386693,5.387179,0.486,14141.7,0.000000,4000,4.5,0.000,0.001,Z0.014Y0.273_ROT0.00_M35.0.TAB

